"region";"kvartal";"Prisindeks for brukte boliger"
"Akershus uten Bærum";"1998K4";31.8
"Akershus uten Bærum";"1999K1";32.8
"Akershus uten Bærum";"1999K2";35.7
"Akershus uten Bærum";"1999K3";36.8
"Akershus uten Bærum";"1999K4";38.5
"Akershus uten Bærum";"2000K1";40.2
"Akershus uten Bærum";"2000K2";44.1
"Akershus uten Bærum";"2000K3";42.4
"Akershus uten Bærum";"2000K4";41.9
"Akershus uten Bærum";"2001K1";42.3
"Akershus uten Bærum";"2001K2";45.3
"Akershus uten Bærum";"2001K3";44.0
"Akershus uten Bærum";"2001K4";44.5
"Akershus uten Bærum";"2002K1";45.1
"Akershus uten Bærum";"2002K2";46.4
"Akershus uten Bærum";"2002K3";46.5
"Akershus uten Bærum";"2002K4";45.7
"Akershus uten Bærum";"2003K1";46.6
"Akershus uten Bærum";"2003K2";46.4
"Akershus uten Bærum";"2003K3";46.7
"Akershus uten Bærum";"2003K4";46.9
"Akershus uten Bærum";"2004K1";50.0
"Akershus uten Bærum";"2004K2";50.9
"Akershus uten Bærum";"2004K3";50.6
"Akershus uten Bærum";"2004K4";51.2
"Akershus uten Bærum";"2005K1";53.3
"Akershus uten Bærum";"2005K2";54.2
"Akershus uten Bærum";"2005K3";54.8
"Akershus uten Bærum";"2005K4";54.9
"Akershus uten Bærum";"2006K1";57.5
"Akershus uten Bærum";"2006K2";60.8
"Akershus uten Bærum";"2006K3";62.6
"Akershus uten Bærum";"2006K4";63.6
"Akershus uten Bærum";"2007K1";68.2
"Akershus uten Bærum";"2007K2";70.3
"Akershus uten Bærum";"2007K3";70.2
"Akershus uten Bærum";"2007K4";68.8
"Akershus uten Bærum";"2008K1";70.6
"Akershus uten Bærum";"2008K2";71.8
"Akershus uten Bærum";"2008K3";69.1
"Akershus uten Bærum";"2008K4";62.7
"Akershus uten Bærum";"2009K1";66.2
"Akershus uten Bærum";"2009K2";68.3
"Akershus uten Bærum";"2009K3";70.7
"Akershus uten Bærum";"2009K4";70.9
"Akershus uten Bærum";"2010K1";73.1
"Akershus uten Bærum";"2010K2";74.7
"Akershus uten Bærum";"2010K3";74.0
"Akershus uten Bærum";"2010K4";74.0
"Akershus uten Bærum";"2011K1";77.3
"Akershus uten Bærum";"2011K2";80.1
"Akershus uten Bærum";"2011K3";80.0
"Akershus uten Bærum";"2011K4";79.1
"Akershus uten Bærum";"2012K1";82.6
"Akershus uten Bærum";"2012K2";84.9
"Akershus uten Bærum";"2012K3";84.9
"Akershus uten Bærum";"2012K4";85.8
"Akershus uten Bærum";"2013K1";89.2
"Akershus uten Bærum";"2013K2";90.2
"Akershus uten Bærum";"2013K3";90.5
"Akershus uten Bærum";"2013K4";88.2
"Akershus uten Bærum";"2014K1";90.0
"Akershus uten Bærum";"2014K2";91.8
"Akershus uten Bærum";"2014K3";93.1
"Akershus uten Bærum";"2014K4";92.2
"Akershus uten Bærum";"2015K1";97.7
"Akershus uten Bærum";"2015K2";100.6
"Akershus uten Bærum";"2015K3";101.4
"Akershus uten Bærum";"2015K4";100.3
"Akershus uten Bærum";"2016K1";105.7
"Akershus uten Bærum";"2016K2";109.3
"Akershus uten Bærum";"2016K3";112.3
"Akershus uten Bærum";"2016K4";114.6
"Akershus uten Bærum";"2017K1";122.6
"Akershus uten Bærum";"2017K2";122.9
"Akershus uten Bærum";"2017K3";120.8
"Akershus uten Bærum";"2017K4";118.1
"Akershus uten Bærum";"2018K1";120.8
"Akershus uten Bærum";"2018K2";124.0
"Akershus uten Bærum";"2018K3";123.3
"Akershus uten Bærum";"2018K4";121.3
"Akershus uten Bærum";"2019K1";123.8
"Akershus uten Bærum";"2019K2";127.0
"Akershus uten Bærum";"2019K3";126.7
"Akershus uten Bærum";"2019K4";124.6
"Akershus uten Bærum";"2020K1";126.4
"Akershus uten Bærum";"2020K2";129.4
"Akershus uten Bærum";"2020K3";131.9
"Akershus uten Bærum";"2020K4";134.3
"Vestfold og Telemark og Viken uten Akershus";"1992K1";0.0
"Vestfold og Telemark og Viken uten Akershus";"1992K2";0.0
"Vestfold og Telemark og Viken uten Akershus";"1992K3";0.0
"Vestfold og Telemark og Viken uten Akershus";"1992K4";0.0
"Vestfold og Telemark og Viken uten Akershus";"1993K1";0.0
"Vestfold og Telemark og Viken uten Akershus";"1993K2";0.0
"Vestfold og Telemark og Viken uten Akershus";"1993K3";0.0
"Vestfold og Telemark og Viken uten Akershus";"1993K4";0.0
"Vestfold og Telemark og Viken uten Akershus";"1994K1";0.0
"Vestfold og Telemark og Viken uten Akershus";"1994K2";0.0
"Vestfold og Telemark og Viken uten Akershus";"1994K3";0.0
"Vestfold og Telemark og Viken uten Akershus";"1994K4";0.0
"Vestfold og Telemark og Viken uten Akershus";"1995K1";0.0
"Vestfold og Telemark og Viken uten Akershus";"1995K2";0.0
"Vestfold og Telemark og Viken uten Akershus";"1995K3";0.0
"Vestfold og Telemark og Viken uten Akershus";"1995K4";0.0
"Vestfold og Telemark og Viken uten Akershus";"1996K1";0.0
"Vestfold og Telemark og Viken uten Akershus";"1996K2";0.0
"Vestfold og Telemark og Viken uten Akershus";"1996K3";0.0
"Vestfold og Telemark og Viken uten Akershus";"1996K4";0.0
"Vestfold og Telemark og Viken uten Akershus";"1997K1";0.0
"Vestfold og Telemark og Viken uten Akershus";"1997K2";0.0
"Vestfold og Telemark og Viken uten Akershus";"1997K3";0.0
"Vestfold og Telemark og Viken uten Akershus";"1997K4";0.0
"Vestfold og Telemark og Viken uten Akershus";"1998K1";0.0
"Vestfold og Telemark og Viken uten Akershus";"1998K2";0.0
"Vestfold og Telemark og Viken uten Akershus";"1998K3";0.0
"Vestfold og Telemark og Viken uten Akershus";"1998K4";0.0
"Vestfold og Telemark og Viken uten Akershus";"1999K1";0.0
"Vestfold og Telemark og Viken uten Akershus";"1999K2";0.0
"Vestfold og Telemark og Viken uten Akershus";"1999K3";0.0
"Vestfold og Telemark og Viken uten Akershus";"1999K4";0.0
"Vestfold og Telemark og Viken uten Akershus";"2000K1";0.0
"Vestfold og Telemark og Viken uten Akershus";"2000K2";0.0
"Vestfold og Telemark og Viken uten Akershus";"2000K3";0.0
"Vestfold og Telemark og Viken uten Akershus";"2000K4";0.0
"Vestfold og Telemark og Viken uten Akershus";"2001K1";0.0
"Vestfold og Telemark og Viken uten Akershus";"2001K2";0.0
"Vestfold og Telemark og Viken uten Akershus";"2001K3";0.0
"Vestfold og Telemark og Viken uten Akershus";"2001K4";0.0
"Vestfold og Telemark og Viken uten Akershus";"2002K1";0.0
"Vestfold og Telemark og Viken uten Akershus";"2002K2";0.0
"Vestfold og Telemark og Viken uten Akershus";"2002K3";0.0
"Vestfold og Telemark og Viken uten Akershus";"2002K4";0.0
"Vestfold og Telemark og Viken uten Akershus";"2003K1";0.0
"Vestfold og Telemark og Viken uten Akershus";"2003K2";0.0
"Vestfold og Telemark og Viken uten Akershus";"2003K3";0.0
"Vestfold og Telemark og Viken uten Akershus";"2003K4";0.0
"Vestfold og Telemark og Viken uten Akershus";"2004K1";0.0
"Vestfold og Telemark og Viken uten Akershus";"2004K2";0.0
"Vestfold og Telemark og Viken uten Akershus";"2004K3";0.0
"Vestfold og Telemark og Viken uten Akershus";"2004K4";0.0
"Vestfold og Telemark og Viken uten Akershus";"2005K1";57.3
"Vestfold og Telemark og Viken uten Akershus";"2005K2";58.6
"Vestfold og Telemark og Viken uten Akershus";"2005K3";58.1
"Vestfold og Telemark og Viken uten Akershus";"2005K4";57.8
"Vestfold og Telemark og Viken uten Akershus";"2006K1";60.5
"Vestfold og Telemark og Viken uten Akershus";"2006K2";63.6
"Vestfold og Telemark og Viken uten Akershus";"2006K3";64.9
"Vestfold og Telemark og Viken uten Akershus";"2006K4";64.8
"Vestfold og Telemark og Viken uten Akershus";"2007K1";68.2
"Vestfold og Telemark og Viken uten Akershus";"2007K2";72.0
"Vestfold og Telemark og Viken uten Akershus";"2007K3";72.5
"Vestfold og Telemark og Viken uten Akershus";"2007K4";70.9
"Vestfold og Telemark og Viken uten Akershus";"2008K1";72.8
"Vestfold og Telemark og Viken uten Akershus";"2008K2";73.5
"Vestfold og Telemark og Viken uten Akershus";"2008K3";71.9
"Vestfold og Telemark og Viken uten Akershus";"2008K4";67.3
"Vestfold og Telemark og Viken uten Akershus";"2009K1";69.4
"Vestfold og Telemark og Viken uten Akershus";"2009K2";73.0
"Vestfold og Telemark og Viken uten Akershus";"2009K3";73.9
"Vestfold og Telemark og Viken uten Akershus";"2009K4";73.1
"Vestfold og Telemark og Viken uten Akershus";"2010K1";75.8
"Vestfold og Telemark og Viken uten Akershus";"2010K2";78.6
"Vestfold og Telemark og Viken uten Akershus";"2010K3";77.7
"Vestfold og Telemark og Viken uten Akershus";"2010K4";77.0
"Vestfold og Telemark og Viken uten Akershus";"2011K1";79.4
"Vestfold og Telemark og Viken uten Akershus";"2011K2";83.5
"Vestfold og Telemark og Viken uten Akershus";"2011K3";83.3
"Vestfold og Telemark og Viken uten Akershus";"2011K4";82.2
"Vestfold og Telemark og Viken uten Akershus";"2012K1";85.0
"Vestfold og Telemark og Viken uten Akershus";"2012K2";88.6
"Vestfold og Telemark og Viken uten Akershus";"2012K3";88.1
"Vestfold og Telemark og Viken uten Akershus";"2012K4";87.3
"Vestfold og Telemark og Viken uten Akershus";"2013K1";89.5
"Vestfold og Telemark og Viken uten Akershus";"2013K2";92.6
"Vestfold og Telemark og Viken uten Akershus";"2013K3";91.7
"Vestfold og Telemark og Viken uten Akershus";"2013K4";89.2
"Vestfold og Telemark og Viken uten Akershus";"2014K1";91.9
"Vestfold og Telemark og Viken uten Akershus";"2014K2";93.9
"Vestfold og Telemark og Viken uten Akershus";"2014K3";95.2
"Vestfold og Telemark og Viken uten Akershus";"2014K4";93.7
"Vestfold og Telemark og Viken uten Akershus";"2015K1";97.8
"Vestfold og Telemark og Viken uten Akershus";"2015K2";101.0
"Vestfold og Telemark og Viken uten Akershus";"2015K3";101.5
"Vestfold og Telemark og Viken uten Akershus";"2015K4";99.7
"Vestfold og Telemark og Viken uten Akershus";"2016K1";103.2
"Vestfold og Telemark og Viken uten Akershus";"2016K2";107.7
"Vestfold og Telemark og Viken uten Akershus";"2016K3";109.9
"Vestfold og Telemark og Viken uten Akershus";"2016K4";109.2
"Vestfold og Telemark og Viken uten Akershus";"2017K1";111.9
"Vestfold og Telemark og Viken uten Akershus";"2017K2";113.3
"Vestfold og Telemark og Viken uten Akershus";"2017K3";113.0
"Vestfold og Telemark og Viken uten Akershus";"2017K4";112.3
"Vestfold og Telemark og Viken uten Akershus";"2018K1";114.4
"Vestfold og Telemark og Viken uten Akershus";"2018K2";119.3
"Vestfold og Telemark og Viken uten Akershus";"2018K3";118.6
"Vestfold og Telemark og Viken uten Akershus";"2018K4";115.5
"Vestfold og Telemark og Viken uten Akershus";"2019K1";119.9
"Vestfold og Telemark og Viken uten Akershus";"2019K2";122.6
"Vestfold og Telemark og Viken uten Akershus";"2019K3";122.3
"Vestfold og Telemark og Viken uten Akershus";"2019K4";118.7
"Vestfold og Telemark og Viken uten Akershus";"2020K1";122.0
"Vestfold og Telemark og Viken uten Akershus";"2020K2";128.3
"Vestfold og Telemark og Viken uten Akershus";"2020K3";130.5
"Vestfold og Telemark og Viken uten Akershus";"2020K4";130.7
"Innlandet";"1992K1";0.0
"Innlandet";"1992K2";0.0
"Innlandet";"1992K3";0.0
"Innlandet";"1992K4";0.0
"Innlandet";"1993K1";0.0
"Innlandet";"1993K2";0.0
"Innlandet";"1993K3";0.0
"Innlandet";"1993K4";0.0
"Innlandet";"1994K1";0.0
"Innlandet";"1994K2";0.0
"Innlandet";"1994K3";0.0
"Innlandet";"1994K4";0.0
"Innlandet";"1995K1";0.0
"Innlandet";"1995K2";0.0
"Innlandet";"1995K3";0.0
"Innlandet";"1995K4";0.0
"Innlandet";"1996K1";0.0
"Innlandet";"1996K2";0.0
"Innlandet";"1996K3";0.0
"Innlandet";"1996K4";0.0
"Innlandet";"1997K1";0.0
"Innlandet";"1997K2";0.0
"Innlandet";"1997K3";0.0
"Innlandet";"1997K4";0.0
"Innlandet";"1998K1";0.0
"Innlandet";"1998K2";0.0
"Innlandet";"1998K3";0.0
"Innlandet";"1998K4";0.0
"Innlandet";"1999K1";0.0
"Innlandet";"1999K2";0.0
"Innlandet";"1999K3";0.0
"Innlandet";"1999K4";0.0
"Innlandet";"2000K1";0.0
"Innlandet";"2000K2";0.0
"Innlandet";"2000K3";0.0
"Innlandet";"2000K4";0.0
"Innlandet";"2001K1";0.0
"Innlandet";"2001K2";0.0
"Innlandet";"2001K3";0.0
"Innlandet";"2001K4";0.0
"Innlandet";"2002K1";0.0
"Innlandet";"2002K2";0.0
"Innlandet";"2002K3";0.0
"Innlandet";"2002K4";0.0
"Innlandet";"2003K1";0.0
"Innlandet";"2003K2";0.0
"Innlandet";"2003K3";0.0
"Innlandet";"2003K4";0.0
"Innlandet";"2004K1";0.0
"Innlandet";"2004K2";0.0
"Innlandet";"2004K3";0.0
"Innlandet";"2004K4";0.0
"Innlandet";"2005K1";58.3
"Innlandet";"2005K2";61.9
"Innlandet";"2005K3";61.1
"Innlandet";"2005K4";60.0
"Innlandet";"2006K1";64.4
"Innlandet";"2006K2";67.7
"Innlandet";"2006K3";67.1
"Innlandet";"2006K4";65.2
"Innlandet";"2007K1";70.6
"Innlandet";"2007K2";74.5
"Innlandet";"2007K3";73.5
"Innlandet";"2007K4";70.2
"Innlandet";"2008K1";73.2
"Innlandet";"2008K2";75.7
"Innlandet";"2008K3";72.9
"Innlandet";"2008K4";68.3
"Innlandet";"2009K1";71.8
"Innlandet";"2009K2";74.7
"Innlandet";"2009K3";75.3
"Innlandet";"2009K4";75.0
"Innlandet";"2010K1";78.6
"Innlandet";"2010K2";80.8
"Innlandet";"2010K3";79.6
"Innlandet";"2010K4";77.4
"Innlandet";"2011K1";82.6
"Innlandet";"2011K2";85.4
"Innlandet";"2011K3";84.2
"Innlandet";"2011K4";81.1
"Innlandet";"2012K1";85.9
"Innlandet";"2012K2";89.1
"Innlandet";"2012K3";88.4
"Innlandet";"2012K4";86.6
"Innlandet";"2013K1";87.5
"Innlandet";"2013K2";94.2
"Innlandet";"2013K3";93.2
"Innlandet";"2013K4";87.3
"Innlandet";"2014K1";92.5
"Innlandet";"2014K2";96.9
"Innlandet";"2014K3";93.9
"Innlandet";"2014K4";94.1
"Innlandet";"2015K1";98.5
"Innlandet";"2015K2";102.3
"Innlandet";"2015K3";100.4
"Innlandet";"2015K4";98.9
"Innlandet";"2016K1";101.1
"Innlandet";"2016K2";107.2
"Innlandet";"2016K3";109.3
"Innlandet";"2016K4";105.4
"Innlandet";"2017K1";111.5
"Innlandet";"2017K2";116.0
"Innlandet";"2017K3";114.3
"Innlandet";"2017K4";112.1
"Innlandet";"2018K1";114.5
"Innlandet";"2018K2";118.8
"Innlandet";"2018K3";119.4
"Innlandet";"2018K4";114.5
"Innlandet";"2019K1";118.5
"Innlandet";"2019K2";122.5
"Innlandet";"2019K3";119.4
"Innlandet";"2019K4";114.6
"Innlandet";"2020K1";119.2
"Innlandet";"2020K2";123.8
"Innlandet";"2020K3";125.8
"Innlandet";"2020K4";119.8
"Agder og Rogaland uten Stavanger";"1992K1";0.0
"Agder og Rogaland uten Stavanger";"1992K2";0.0
"Agder og Rogaland uten Stavanger";"1992K3";0.0
"Agder og Rogaland uten Stavanger";"1992K4";0.0
"Agder og Rogaland uten Stavanger";"1993K1";0.0
"Agder og Rogaland uten Stavanger";"1993K2";0.0
"Agder og Rogaland uten Stavanger";"1993K3";0.0
"Agder og Rogaland uten Stavanger";"1993K4";0.0
"Agder og Rogaland uten Stavanger";"1994K1";0.0
"Agder og Rogaland uten Stavanger";"1994K2";0.0
"Agder og Rogaland uten Stavanger";"1994K3";0.0
"Agder og Rogaland uten Stavanger";"1994K4";0.0
"Agder og Rogaland uten Stavanger";"1995K1";0.0
"Agder og Rogaland uten Stavanger";"1995K2";0.0
"Agder og Rogaland uten Stavanger";"1995K3";0.0
"Agder og Rogaland uten Stavanger";"1995K4";0.0
"Agder og Rogaland uten Stavanger";"1996K1";0.0
"Agder og Rogaland uten Stavanger";"1996K2";0.0
"Agder og Rogaland uten Stavanger";"1996K3";0.0
"Agder og Rogaland uten Stavanger";"1996K4";0.0
"Agder og Rogaland uten Stavanger";"1997K1";0.0
"Agder og Rogaland uten Stavanger";"1997K2";0.0
"Agder og Rogaland uten Stavanger";"1997K3";0.0
"Agder og Rogaland uten Stavanger";"1997K4";0.0
"Agder og Rogaland uten Stavanger";"1998K1";0.0
"Agder og Rogaland uten Stavanger";"1998K2";0.0
"Agder og Rogaland uten Stavanger";"1998K3";0.0
"Agder og Rogaland uten Stavanger";"1998K4";0.0
"Agder og Rogaland uten Stavanger";"1999K1";0.0
"Agder og Rogaland uten Stavanger";"1999K2";0.0
"Agder og Rogaland uten Stavanger";"1999K3";0.0
"Agder og Rogaland uten Stavanger";"1999K4";0.0
"Agder og Rogaland uten Stavanger";"2000K1";0.0
"Agder og Rogaland uten Stavanger";"2000K2";0.0
"Agder og Rogaland uten Stavanger";"2000K3";0.0
"Agder og Rogaland uten Stavanger";"2000K4";0.0
"Agder og Rogaland uten Stavanger";"2001K1";0.0
"Agder og Rogaland uten Stavanger";"2001K2";0.0
"Agder og Rogaland uten Stavanger";"2001K3";0.0
"Agder og Rogaland uten Stavanger";"2001K4";0.0
"Agder og Rogaland uten Stavanger";"2002K1";0.0
"Agder og Rogaland uten Stavanger";"2002K2";0.0
"Agder og Rogaland uten Stavanger";"2002K3";0.0
"Agder og Rogaland uten Stavanger";"2002K4";0.0
"Agder og Rogaland uten Stavanger";"2003K1";0.0
"Agder og Rogaland uten Stavanger";"2003K2";0.0
"Agder og Rogaland uten Stavanger";"2003K3";0.0
"Agder og Rogaland uten Stavanger";"2003K4";0.0
"Agder og Rogaland uten Stavanger";"2004K1";0.0
"Agder og Rogaland uten Stavanger";"2004K2";0.0
"Agder og Rogaland uten Stavanger";"2004K3";0.0
"Agder og Rogaland uten Stavanger";"2004K4";0.0
"Agder og Rogaland uten Stavanger";"2005K1";51.4
"Agder og Rogaland uten Stavanger";"2005K2";53.3
"Agder og Rogaland uten Stavanger";"2005K3";54.1
"Agder og Rogaland uten Stavanger";"2005K4";54.8
"Agder og Rogaland uten Stavanger";"2006K1";57.3
"Agder og Rogaland uten Stavanger";"2006K2";61.6
"Agder og Rogaland uten Stavanger";"2006K3";64.7
"Agder og Rogaland uten Stavanger";"2006K4";66.4
"Agder og Rogaland uten Stavanger";"2007K1";70.5
"Agder og Rogaland uten Stavanger";"2007K2";75.4
"Agder og Rogaland uten Stavanger";"2007K3";76.6
"Agder og Rogaland uten Stavanger";"2007K4";77.1
"Agder og Rogaland uten Stavanger";"2008K1";79.4
"Agder og Rogaland uten Stavanger";"2008K2";81.0
"Agder og Rogaland uten Stavanger";"2008K3";79.9
"Agder og Rogaland uten Stavanger";"2008K4";72.5
"Agder og Rogaland uten Stavanger";"2009K1";75.9
"Agder og Rogaland uten Stavanger";"2009K2";78.3
